
 ×èÖµ	 ÎÂ¶È

 (¦¸) 	 (¡æ)

 800.000	 -50.77

 802.000	 -50.27

 804.000	 -49.76

 806.000	 -49.26

 808.000	 -48.76

 810.000	 -48.25

 812.000	 -47.75

 814.000	 -47.24

 816.000	 -46.74

 818.000	 -46.24

 820.000	 -45.73

 822.000	 -45.23

 824.000	 -44.72

 826.000	 -44.22

 828.000	 -43.71

 830.000	 -43.21

 832.000	 -42.70

 834.000	 -42.20

 836.000	 -41.69

 838.000	 -41.19

 840.000	 -40.68

 842.000	 -40.18

 844.000	 -39.67

 846.000	 -39.17

 848.000	 -38.66

 850.000	 -38.16

 852.000	 -37.65

 854.000	 -37.14

 856.000	 -36.64

 858.000	 -36.13

 860.000	 -35.63

 862.000	 -35.12

 864.000	 -34.61

 866.000	 -34.11

 868.000	 -33.60

 870.000	 -33.10

 872.000	 -32.59

 874.000	 -32.08

 876.000	 -31.58

 878.000	 -31.07

 880.000	 -30.56

 882.000	 -30.05

 884.000	 -29.55

 886.000	 -29.04

 888.000	 -28.53

 890.000	 -28.03

 892.000	 -27.52

 894.000	 -27.01

 896.000	 -26.50

 898.000	 -26.00

 900.000	 -25.49

 902.000	 -24.98

 904.000	 -24.47

 906.000	 -23.96

 908.000	 -23.46

 910.000	 -22.95

 912.000	 -22.44

 914.000	 -21.93

 916.000	 -21.42

 918.000	 -20.92

 920.000	 -20.41

 922.000	 -19.90

 924.000	 -19.39

 926.000	 -18.88

 928.000	 -18.37

 930.000	 -17.86

 932.000	 -17.35

 934.000	 -16.84

 936.000	 -16.34

 938.000	 -15.83

 940.000	 -15.32

 942.000	 -14.81

 944.000	 -14.30

 946.000	 -13.79

 948.000	 -13.28

 950.000	 -12.77

 952.000	 -12.26

 954.000	 -11.75

 956.000	 -11.24

 958.000	 -10.73

 960.000	 -10.22

 962.000	 -9.71

 964.000	 -9.20

 966.000	 -8.69

 968.000	 -8.18

 970.000	 -7.67

 972.000	 -7.16

 974.000	 -6.65

 976.000	 -6.14

 978.000	 -5.62

 980.000	 -5.11

 982.000	 -4.60

 984.000	 -4.09

 986.000	 -3.58

 988.000	 -3.07

 990.000	 -2.56

 992.000	 -2.05

 994.000	 -1.53

 996.000	 -1.02

 998.000	 -0.51

 1000.000	 0.00

 1002.000	 0.51

 1004.000	 1.02

 1006.000	 1.54

 1008.000	 2.05

 1010.000	 2.56

 1012.000	 3.07

 1014.000	 3.58

 1016.000	 4.10

 1018.000	 4.61

 1020.000	 5.12

 1022.000	 5.63

 1024.000	 6.15

 1026.000	 6.66

 1028.000	 7.17

 1030.000	 7.68

 1032.000	 8.20

 1034.000	 8.71

 1036.000	 9.22

 1038.000	 9.74

 1040.000	 10.25

 1042.000	 10.76

 1044.000	 11.28

 1046.000	 11.79

 1048.000	 12.30

 1050.000	 12.82

 1052.000	 13.33

 1054.000	 13.85

 1056.000	 14.36

 1058.000	 14.87

 1060.000	 15.39

 1062.000	 15.90

 1064.000	 16.42

 1066.000	 16.93

 1068.000	 17.44

 1070.000	 17.96

 1072.000	 18.47

 1074.000	 18.99

 1076.000	 19.50

 1078.000	 20.02

 1080.000	 20.53

 1082.000	 21.05

 1084.000	 21.56

 1086.000	 22.08

 1088.000	 22.59

 1090.000	 23.11

 1092.000	 23.62

 1094.000	 24.14

 1096.000	 24.65

 1098.000	 25.17

 1100.000	 25.68

 1102.000	 26.20

 1104.000	 26.72

 1106.000	 27.23

 1108.000	 27.75

 1110.000	 28.26

 1112.000	 28.78

 1114.000	 29.30

 1116.000	 29.81

 1118.000	 30.33

 1120.000	 30.84

 1122.000	 31.36

 1124.000	 31.88

 1126.000	 32.39

 1128.000	 32.91

 1130.000	 33.43

 1132.000	 33.94

 1134.000	 34.46

 1136.000	 34.98

 1138.000	 35.50

 1140.000	 36.01

 1142.000	 36.53

 1144.000	 37.05

 1146.000	 37.56

 1148.000	 38.08

 1150.000	 38.60

 1152.000	 39.12

 1154.000	 39.64

 1156.000	 40.15

 1158.000	 40.67

 1160.000	 41.19

 1162.000	 41.71

 1164.000	 42.23

 1166.000	 42.74

 1168.000	 43.26

 1170.000	 43.78

 1172.000	 44.30

 1174.000	 44.82

 1176.000	 45.34

 1178.000	 45.85

 1180.000	 46.37

 1182.000	 46.89

 1184.000	 47.41

 1186.000	 47.93

 1188.000	 48.45

 1190.000	 48.97

 1192.000	 49.49

 1194.000	 50.01

 1196.000	 50.53

 1198.000	 51.05

 1200.000	 51.57

 1202.000	 52.09

 1204.000	 52.61

 1206.000	 53.13

 1208.000	 53.65

 1210.000	 54.17

 1212.000	 54.69

 1214.000	 55.21

 1216.000	 55.73

 1218.000	 56.25

 1220.000	 56.77

 1222.000	 57.29

 1224.000	 57.81

 1226.000	 58.33

 1228.000	 58.85

 1230.000	 59.37

 1232.000	 59.89

 1234.000	 60.41

 1236.000	 60.93

 1238.000	 61.45

 1240.000	 61.98

 1242.000	 62.50

 1244.000	 63.02

 1246.000	 63.54

 1248.000	 64.06

 1250.000	 64.58

 1252.000	 65.10

 1254.000	 65.63

 1256.000	 66.15

 1258.000	 66.67

 1260.000	 67.19

