
 ÎÂ¶È	 ×èÖµ

 (¡æ) 	 (¦¸)

 -50.00	 80.306

 -49.50	 80.505

 -49.00	 80.703

 -48.50	 80.902

 -48.00	 81.100

 -47.50	 81.299

 -47.00	 81.497

 -46.50	 81.695

 -46.00	 81.894

 -45.50	 82.092

 -45.00	 82.290

 -44.50	 82.488

 -44.00	 82.687

 -43.50	 82.885

 -43.00	 83.083

 -42.50	 83.281

 -42.00	 83.479

 -41.50	 83.677

 -41.00	 83.875

 -40.50	 84.073

 -40.00	 84.271

 -39.50	 84.469

 -39.00	 84.666

 -38.50	 84.864

 -38.00	 85.062

 -37.50	 85.260

 -37.00	 85.457

 -36.50	 85.655

 -36.00	 85.853

 -35.50	 86.050

 -35.00	 86.248

 -34.50	 86.445

 -34.00	 86.643

 -33.50	 86.840

 -33.00	 87.038

 -32.50	 87.235

 -32.00	 87.432

 -31.50	 87.630

 -31.00	 87.827

 -30.50	 88.024

 -30.00	 88.222

 -29.50	 88.419

 -29.00	 88.616

 -28.50	 88.813

 -28.00	 89.010

 -27.50	 89.207

 -27.00	 89.404

 -26.50	 89.601

 -26.00	 89.798

 -25.50	 89.995

 -25.00	 90.192

 -24.50	 90.389

 -24.00	 90.586

 -23.50	 90.783

 -23.00	 90.980

 -22.50	 91.177

 -22.00	 91.373

 -21.50	 91.570

 -21.00	 91.767

 -20.50	 91.963

 -20.00	 92.160

 -19.50	 92.356

 -19.00	 92.553

 -18.50	 92.750

 -18.00	 92.946

 -17.50	 93.143

 -17.00	 93.339

 -16.50	 93.535

 -16.00	 93.732

 -15.50	 93.928

 -15.00	 94.124

 -14.50	 94.321

 -14.00	 94.517

 -13.50	 94.713

 -13.00	 94.909

 -12.50	 95.106

 -12.00	 95.302

 -11.50	 95.498

 -11.00	 95.694

 -10.50	 95.890

 -10.00	 96.086

 -9.50	 96.282

 -9.00	 96.478

 -8.50	 96.674

 -8.00	 96.870

 -7.50	 97.066

 -7.00	 97.261

 -6.50	 97.457

 -6.00	 97.653

 -5.50	 97.849

 -5.00	 98.044

 -4.50	 98.240

 -4.00	 98.436

 -3.50	 98.631

 -3.00	 98.827

 -2.50	 99.023

 -2.00	 99.218

 -1.50	 99.414

 -1.00	 99.609

 -0.50	 99.805

 0.00	 100.000

 0.50	 100.195

 1.00	 100.391

 1.50	 100.586

 2.00	 100.781

 2.50	 100.977

 3.00	 101.172

 3.50	 101.367

 4.00	 101.562

 4.50	 101.758

 5.00	 101.953

 5.50	 102.148

 6.00	 102.343

 6.50	 102.538

 7.00	 102.733

 7.50	 102.928

 8.00	 103.123

 8.50	 103.318

 9.00	 103.513

 9.50	 103.708

 10.00	 103.903

 10.50	 104.097

 11.00	 104.292

 11.50	 104.487

 12.00	 104.682

 12.50	 104.876

 13.00	 105.071

 13.50	 105.266

 14.00	 105.460

 14.50	 105.655

 15.00	 105.849

 15.50	 106.044

 16.00	 106.238

 16.50	 106.433

 17.00	 106.627

 17.50	 106.822

 18.00	 107.016

 18.50	 107.211

 19.00	 107.405

 19.50	 107.599

 20.00	 107.794

 20.50	 107.988

 21.00	 108.182

 21.50	 108.376

 22.00	 108.570

 22.50	 108.764

 23.00	 108.959

 23.50	 109.153

 24.00	 109.347

 24.50	 109.541

 25.00	 109.735

 25.50	 109.929

 26.00	 110.123

 26.50	 110.316

 27.00	 110.510

 27.50	 110.704

 28.00	 110.898

 28.50	 111.092

 29.00	 111.286

 29.50	 111.479

 30.00	 111.673

 30.50	 111.867

 31.00	 112.060

 31.50	 112.254

 32.00	 112.447

 32.50	 112.641

 33.00	 112.835

 33.50	 113.028

 34.00	 113.221

 34.50	 113.415

 35.00	 113.608

 35.50	 113.802

 36.00	 113.995

 36.50	 114.188

 37.00	 114.382

 37.50	 114.575

 38.00	 114.768

 38.50	 114.961

 39.00	 115.155

 39.50	 115.348

 40.00	 115.541

 40.50	 115.734

 41.00	 115.927

 41.50	 116.120

 42.00	 116.313

 42.50	 116.506

 43.00	 116.699

 43.50	 116.892

 44.00	 117.085

 44.50	 117.278

 45.00	 117.470

 45.50	 117.663

 46.00	 117.856

 46.50	 118.049

 47.00	 118.241

 47.50	 118.434

 48.00	 118.627

 48.50	 118.819

 49.00	 119.012

 49.50	 119.205

 50.00	 119.397

 50.50	 119.590

 51.00	 119.782

 51.50	 119.975

 52.00	 120.167

 52.50	 120.359

 53.00	 120.552

 53.50	 120.744

 54.00	 120.936

 54.50	 121.129

 55.00	 121.321

 55.50	 121.513

 56.00	 121.705

 56.50	 121.898

 57.00	 122.090

 57.50	 122.282

 58.00	 122.474

 58.50	 122.666

 59.00	 122.858

 59.50	 123.050

 60.00	 123.242

 60.50	 123.434

 61.00	 123.626

 61.50	 123.818

 62.00	 124.009

 62.50	 124.201

 63.00	 124.393

 63.50	 124.585

 64.00	 124.777

 64.50	 124.968

 65.00	 125.160

 65.50	 125.352

 66.00	 125.543

 66.50	 125.735

 67.00	 125.926

 67.50	 126.118

 68.00	 126.309

 68.50	 126.501

 69.00	 126.692

 69.50	 126.884

 70.00	 127.075

 70.50	 127.266

 71.00	 127.458

